doc_id,doc_title_ger,doc_title_eng
1123477523,In silico und in vitro Untersuchungen zum Sekundärstoffwechsel in Aktinomyceten unter besonderer Berücksichtigung der Biosynthese der Rishirilide aus Streptomyces bottropensis,"In silico and in vitro studies on secondary metabolism in Actinomycetes, with a particular focus on the biosynthesis of rishirilides from Streptomyces bottropensis."
1123478449,Was man mit Pierre Bourdieu über Katastrophen sagen könnte,What could be said about catastrophes with Pierre Bourdieu
112347995X,"Die @eins waren, eins sind oder eins sein möchten","They were, are, or want to be one"
1123480451,"Mentale Modelle, Emotionen und Emotionsregulation : empirische Untersuchungen im Kontext des Problemlösens","Mental Models, Emotions, and Emotion Regulation: Empirical Investigations in the Context of Problem Solving"
1123481415,"Der @Riss im Wissen : zum Problem des Unterschieds zwischen Natur- und Geisteswissenschaft in der griechischen Antike, anhand von Aristoteles' Physik und Politik","The Crack in Knowledge: The Problem of the Difference Between Natural and Social Sciences in Ancient Greece, Using Aristotle's Physics and Politics"
1123481539,Entwicklung und Charakterisierung von spektroskopischen und ortsauflösenden Cadmiumtellurid-Halbleiterdetektorsystemen,Development and characterization of spectroscopic and spatially resolving cadmium telluride semiconductor detector systems
1123483213,"Über ökonomische Theorien der forstlichen Nachhaltigkeit : eine ideengeschichtliche Auseinandersetzung mit Deegens Aufsatz ""Die Stellung der Tharandter Theorien der forstlichen Nachhaltigkeit in Hayeks Klassifikation der Formen menschlicher Ordnung"" (veröffentlicht in ORDO (2013: 79-97)","On Economic Theories of Forest Sustainability: An Ideological Analysis of Deegen's Paper ""The Role of Tharandter Theories of Forest Sustainability in Hayek's Classification of Forms of Human Order"" (published in ORDO (2013: 79-97))"
1123643881,"""Ich bin Feministin""","""I am a feminist"""
1123644314,Passionen der Ordnung,Passions of the Order
1123689490,"Kielmansegg, P. G. (2015). Wohin des Wegs, Europa? Beiträge zu einer überfälligen Debatte. Baden-Baden: Nomos 163 S., ISBN: 978-3-8487-1966-2, € 29,-.","Kielmansegg, P. G. (2015). Where to, Europe? Contributions to an urgent debate. Baden-Baden: Nomos, 163 p., ISBN: 978-3-8487-1966-2, € 29,-."
1123692807,Ethik für die Pflege Gelebte moralische Werte in den Stationsalltag integrieren,Ethics in Nursing - Integrating lived moral values into the daily routine
1123696365,Handwerksunternehmen im Fokus der Regionalförderung?,Craft businesses in the spotlight of regional promotion?
1123699623,Förderung der emotionalen Kompetenz im Schulsport Eine explorative Feldstudie,Promoting Emotional Competence in School Sports: An Exploratory Field Study
1123729433,Konzeption und Untersuchung einer Panoramaanzeige zur Steigerung des Raumbewusstseins von Piloten,Conceptualization and Investigation of a Panorama Display for Enhancing Spatial Awareness of Pilots
1123833753,Islamische Religionsgemeinschaften als politische Akteure in Deutschland eine Analyse zur politischen Strategiefähigkeit,Islamic religious communities as political actors in Germany: an analysis of political strategic competence
1123927022,Diakonik Grundlagen – Konzeptionen – Diskurse,Diaconical Foundations – Concepts – Discourses
112392788X,Die @große Metaphern-Schatzkiste – Band 2: Die Systemische Heldenreise Systemisch arbeiten mit Sprachbildern,The Great Metaphor Treasure Chest – Volume 2: The Systemic Hero's Journey Working Systemically with Language Images
1123928916,Nonkonformismus Indes. Zeitschrift für Politik und Gesellschaft 2016 Heft 03,Nonconformity. Magazine for Politics and Society 2016 Issue 03
1123929173,Lutherjahrbuch 83. Jahrgang 2016,Luther Yearbook 83rd Edition 2016
1123997977,Employer Branding und Personalmarketing - Ausgewählte Ergebnisse der Recruiting Trends 2016 und der Bewerbungspraxis 2016,Employer Branding and Recruitment Marketing - Selected Results from Recruitment Trends 2016 and Application Practice 2016
112400453X,Dynamische Manipulation von NV-Zentren im Diamant für Quantenoptik,Dynamic manipulation of NV centers in diamond for quantum optics
1124007601,Der @Buchführungs-Ratgeber Grundlagen und Beispiele,Guide to Bookkeeping: Fundamentals and Examples
1124131590,"Schneller laden, länger fahren","Faster loading, longer driving"
112413171X,Innovative Prüfstand-architektur zur Ermittlung von Reifeneigenschaften,Innovative testing stand architecture for determining tire properties
1124202757,"Religion, Toleranz, Rassismus im Wirkungsspektrum der Philosophie John Deweys  mit einem Seitenblick auf 100 Jahre ""Demokratie und Erziehung Religion, tolerance, racism in the action spectrum of the philosophy of John Dewey - With a side glance to 100 years of Democracy and Education","Religion, Tolerance, Racism in the Action Spectrum of the Philosophy of John Dewey - With a Side Look at 100 Years of ""Democracy and Education"""
1124202889,Die @Bedeutung der Studierfähigkeit für den Studienerfolg im 1. Semester in Physik The relevance of the study capacity for success in introductory physics courses,The relevance of the study capacity for success in introductory physics courses
1124403396,Die @Entwicklung des Sports in Leverkusen eine historische Analyse von 1880-2015,The development of sports in Leverkusen - A historical analysis from 1880 to 2015
1124434933,"Das @Tabu Was Psychoanalytiker nicht denken dürfen, sich aber trauen sollten","The @Tabu What Psychologists Shouldn't Think, But Should Dare"
1124507019,"Tischtennis mit Timo Boll Wie er spielt, trainiert und gewinnt","Ping-Pong with Timo Boll How he plays, trains, and wins"
1124512322,"Psychologie Heute 12/2016 Heimat finden. Ein Zuhause schaffen, Wurzeln schlagen, sich zugehörig fühlen","Psychology Today 12/2016 Finding Home. Create a Home, Establish Roots, Feel Belonging"
112451287X,Kommunalrecht Rheinland-Pfalz Grundriss für die Aus- und Fortbildung,Communal Law Rhineland-Palatinate Outline for Training and Further Education
1124539719,"Blockupy in Frankfurt 2012-2015 ""Widerstand im Herzen des europäischen Krisenregimes"" ; Analyse – Bewertung – Perspektiven","Blockupy in Frankfurt 2012-2015 ""Resistance at the Heart of the European Crisis Regime"" : Analysis – Evaluation – Prospects"
1124541241,Das @Bild des Papstes Der Lateransalvator in seiner Funktion für die päpstliche Selbstdarstellung,The image of the Pope representing the Lateran Salvator in his role for papal self-presentation
112454139X,Herausforderung Islam Christliche Annäherungen,Challenge of Islam Christian Approaches
1124680454,Identitätskonstruktionen marginalisierter Jugendlicher im informellen Sport Eine qualitative Studie auf dem Bolzplatz,Identity constructions of marginalized youth in informal sports: A qualitative study on the playground
1124763562,Landschaftsökologie,Landscape Ecology
1124841288,"Epidemiologische, klinische und serologische Untersuchungen zum Verlauf von Parascaris spp.-Infektionen bei Fohlen","Epidemiological, clinical, and serological investigations into the course of Parascaris spp. infections in foals"
1124902562,Unabhängigkeit und Stadiendifferenzierung bei Chorea Huntington,Independence and Staging Differentiation in Chorea Huntington
1124904875,Die @Systematik der Bakterien,Bacterial Systematics
1125044241,"Das @Vorurteil: ""wir"" und ""die da"" wie Gruppendynamiken negative und positive Einstellungen gegenüber anderen bestimmen","The prejudice: ""we"" and ""they"" how group dynamics determine negative and positive attitudes towards others."
1125044330,"""Der deutsche Ursprung liegt im Fremden"" warum die Germanen keine Deutschen waren – und wie wissbegierige Barbaren in ihr nationales Dasein schlitterten","""The German origin lies in the foreign"" why the Germans were not Germans - and how curious barbarians slid into their national existence"
1125065761,Bessere Versorgungsstrukturen für seltene Erkrankungen „Gemeinsam“ lautet die Devise,"Better supply structures for rare diseases ""Together"" is the motto"
1125104848,Seventeen (and Counting) zum Prinzip der Reihung in den Büchern von Ed Ruscha,Seventeen (and Counting) on the Principle of Sequence in the Books of Ed Ruscha
1125104864,Von der Reihe zum Loop zur Aktualität des Serialismus in der Musik,From Sequence to Loop to the Relevance of Serialism in Music
1125113618,"Kein Widerruf der Approbation wegen Unwürdigkeit GG Art. 12; BÄO §§3,5","No revocation of approval due to disgrace, GG Art. 12; BÄO §§3,5"
1125229918,Intangible Effekte von Sportgroßveranstaltungen aus Sicht von Athlet/innen am Beispiel der Olympischen Jugendspiele 2010 und 2012,"Intangible effects of large-scale sports events from the perspective of athletes, using the example of the Youth Olympic Games 2010 and 2012."
1125331801,"Sportwissenschaft, Bewegungsförderung und Public Health Eine Bilanz mit Zukunftsperspektiven","Sports science, movement promotion and public health: a review with future prospects"
112534525X,Risikobewertung von Chemikalien mit Fließgewässermodellökosystemen die Entwicklung eines Mesokosmos-Testsystems und eine Pilotstudie mit dem Tierarzneimittel Ivermectin,Risk assessment of chemicals with flow-through water model ecosystems development of a mesocosm-test system and a pilot study with the veterinary drug Ivermectin.
1125386886,"Energiesparende Trocknung mikrokristalliner cellulosischer Gele (MCG), AZ 31481","Energy-saving drying of microcrystalline cellulose gels (MCG), AZ 31481"
112539501X,Vergleichende Untersuchung von Desfluran und Propofol in equipotenten Dosierungen in Kombination mit Dexmedetomidin hinsichtlich zentraler Kreislaufparameter und der peripheren Perfusion und Oxygenierung beim Pferd,Comparative investigation of Desflurane and Propofol in equipotent doses in combination with dexmedetomidine regarding central cardiovascular parameters and peripheral perfusion and oxygenation in the horse
1125461594,"One touch Was Führungskräfte vom Profifußball lernen können. Mit Einwürfen von Jürgen Klinsmann, Joachim Löw & Co.","One touch - Leadership lessons from top football professionals, with insights from Jürgen Klinsmann, Joachim Löw, and more."
112553415X,Kriterienorientierte Konstruktion eines Kompetenzniveaumodells im physikalischen Fachwissen,Criteria-oriented construction of a competency level model in physical knowledge
1125541121,Der @Neopalamismus in der orthodoxen Theologie,Neo-Palamism in Orthodox Theology
1125541288,Dissenter und Nonkonformisten Phänomene religiöser 'Abweichung' zwischen den britischen Inseln und dem europäischen Kontinent,Dissidents and Nonconformists: Phenomena of religious 'deviation' between the British Isles and the European Continent
1125627468,Eine @Referenzarchitektur für die assistierte und automatisierte Fahrzeugführung mit Fahrereinbindung,A reference architecture for assisted and automated vehicle driving with driver involvement
1125631538,Kriminologischer Beitrag Die Schuld der Opfer,Criminological Contribution: The Blame of the Victims
1125885491,"Moral, Religion und Geschichte: Die Untersuchung zum neuzeitlichen Sittlichkeitsbegriff in ""Hegels Phänomenologie des Geistes""","Moral, Religion, and History: An Investigation into the Concept of Morality in Hegel's ""Phenomenology of Spirit"""
1125906057,Im Auge des Betrachters : soziale Präsenz als Moderator kognitiver Prozesse,In the eye of the observer: social presence as a moderator of cognitive processes
1125911638,Windeinfluss auf Cavity-Receiver für solare Turmkraftwerke,Wind influence on cavity receiver for solar tower power plants
1125929316,Unforced Errors – Hinweise zur Endredaktion von Studienarbeiten,Unforced Errors – Tips for the Final Edit of Theses
1125947721,Psychoanalyse als Dialogwissenschaft,Psychanalysis as Dialog Science
112594773X,Zuhöreraktivitäten beim konversationeilen Erzählen,Listener activities during conversational narration
1125947764,Zur Legitimation und Einbettung von Erzählungen in Alltagsdialogen,Legitimation and embedding of stories in everyday dialogues
1125947861,Stadtsprache Forschungsrichtungen und -perspektiven einer vernachlässigten soziolinguistischen Disziplin,City language research directions and perspectives of a neglected sociolinguistic discipline
112599987X,Zur Lösemitteldiffusion in Polymernanoschichten: Schichtdicken- und Konzentrationsabhängigkeit,Polymer nanolayer dissolution: Layer thickness and concentration dependence
1126032417,"Zahlungsmoral. Überlegungen zum Zusammenhang von Schuld und Schulden mit Nietzsche, Weber und Bourdieu","The Paying Morality. Considerations on the Relationship between Debt and Obligation with Nietzsche, Weber, and Bourdieu"
1126086495,Klimawandel als neue Herausforderung für die Modellierung von Pflanzen und Schaderregern – eine kritische Betrachtung,Climate change as a new challenge for the modeling of plants and pests – a critical analysis
1126094269,"ZuS - Zukunftsstrategie Lehrer*innenbildung Köln (Teilprojekt Qualitätssicherung). Skalendokumentation zum Fragebogen des hochschulweiten Bildungsmonitorings, Messzeitpunkt 1, Teil A.","Zus - Future Strategy for Teacher Education, Köln (Sub-project Quality Assurance). Scalability Documentation for the Survey of the University-wide Education Monitoring, Measurement Timepoint 1, Part A."
112611572X,Quantitative Phasenanalyse von ausferritischem Gusseisen mithilfe der Neutronendiffraktometrie,Quantitative Phase Analysis of Out-of-Ferrite Cast Iron Using Neutron Diffractometry
1126122483,Fiktion im Gespräch,Fiction in conversation
112612365X,Kicktionary,Kicktionary
1126128236,Emotionale Kommunikation,Emotional Communication
1126129348,"Analytikerwissen, Teilnehmerwissen und soziale Wirklichkeit in der ethnographischen Gesprächsanalyse","Analyst knowledge, participant knowledge, and social reality in ethnographic conversation analysis"
1126197157,Kommunikation als Grundvoraussetzung für gelingendes Altern,Communication as a prerequisite for successful aging
1126216712,Messung experimenteller Kompetenz  ein computergestützter Experimentiertest Measuring experimental competence - a computer-based performance test,Measure experimental competence - a computer-based performance test
1126247766,Wanderer-Fantasien Franz Liszt und die Figuren des Begehrens,Traveler's Fantasies: Franz Liszt and the Figures of Desire
1126254002,Zur Beschäftigungssituation des akademischen Mittelbaus. Ergebnisse der ersten Befragung der wissenschaftlichen und künstlerischen Mitarbeiter_innen der Stiftung Universität Hildesheim,Occupational situation of the academic middle ranks. Results of the first survey of scientific and artistic employees of the University of Hildesheim Foundation.
1126254169,Gender und Sachunterricht: Konstruiertes Geschlecht im didaktischen Kontext,Gender and subject teaching: Constructed gender in the didactic context
1126254274,A Talking Book. Essays zu Inszenierungen Stevie Wonders,A Talking Book. Essays on Performances by Stevie Wonder
1126254452,Wie die Mehrheit unsere Sicht auf die Dinge verändern kann. Untersuchungen zu den Auswirkungen von Mehrheitseinfluss auf die neuro-kognitiven Prozesse visuellen Entscheidens,How the majority can change our perception. Investigations into the effects of majority influence on the neurocognitive processes of visual decision-making.
1126300144,Nur eine Frage der Haltung? Eine empirische Analyse von personen- und institutionenbezogenen Einflussgrößen auf die Einstellungen von Sportlehrkräften der Sekundarstufe I zur schulischen Inklusion,Is it just a matter of attitude? An empirical analysis of personal and institution-based factors influencing the attitudes of secondary school physical education teachers towards school inclusion
1126387975,IT-Grundschutz bei einem Telekommunikationsdienstleister Besonderheiten bei der Anwendung der Methodik,Basic IT security for a telecommunications service provider - particularities in applying the methodology
112641428X,Aquatische Optische Technologien in Deutschland,Aquatic Optical Technologies in Germany
1126463752,Morphologische und Transkriptom-basierte Untersuchungen zur Pathogenese demyelinisierender Erkrankungen des zentralen Nervensystems unter besonderer Berücksichtigung der Rolle axonaler De- und Regeneration bei der demyelinisierenden Staupe-Enzephalitis,"Morphological and transcriptomic investigations of the pathogenesis of demyelinating diseases of the central nervous system, with particular attention to the role of axonal de- and regeneration in the demyelinating encephalitis."
1126472964,Smart Cams Rechtliche Herausforderungen an eine allumfassende Videoüberwachung,Legal Challenges to Comprehensive Video Surveillance
1126479837,"Meine Bedürfnisse, Deine Bedürfnisse Dem inneren Kind in der Partnerschaft Raum geben","My needs, your needs - Giving space to the inner child in the partnership"
1126504718,"Die @segmentspezifische Lokalisation von Kir4.1, THIK-1 und THIK-2 Kaliumkanälen in der Säugerniere","The @segmentspecific localization of Kir4.1, THIK-1, and THIK-2 potassium channels in the neonatal kidney"
1126524956,"Analyse der Molekularstruktur von Arthropoden-Hämocyaninen (2x6-mer, 4x6-mer, 8x6-mer) mit 3D-Elektronenmikroskopie","Analysis of the molecular structure of arthropod hemocyanins (2x6-mer, 4x6-mer, 8x6-mer) using 3D electron microscopy"
1126538124,G-Quadruplex in DNA und RNA – Strukturen mit biologischer Funktion?,G-Quadruplexes in DNA and RNA – Structures with biological function?
1126538337,Brachten Mikroben uns das Augenlicht?,Did microbes bring us the ability to see?
1126547492,Kartellrecht - Recht gegen Wettbewerbsbeschränkungen,Cartel Law - Law Against Competition Restrictions
112659542X,Tarifpolitischer Monatsbericht Januar 2017,Monthly tariff report January 2017
1126643068,Einfluss von Bakterien und bakteriellen Bestandteilen auf die Interleukin-17-Produktion von Thymus- und Milzzellen unter Berücksichtigung ihrer möglichen Rolle bei T-Zell-vermittelten Autoimmunerkrankungen,"The influence of bacteria and bacterial components on the production of interleukin-17 by thymus and spleen cells, considering their possible role in T-cell-mediated autoimmune diseases"
1126644242,Erschließung einer natürlichen Peptid-Protein-Wechselwirkung als molekulare Grundstruktur zur hochaffinen Kopplung von Proteinen und Entwicklung biotechnologischer Anwendungsmodule,Exploration of a natural peptide-protein interaction as a molecular basis for high-affinity coupling of proteins and development of biotechnological application modules
1126645958,Das @Frauenlied im Mittelalter homogene Gattung oder unpräziser Überbegriff,The @Frauenlied in the Middle Ages was a homogeneous genre or an imprecise overarching term.
1126685356,Twittern als #Alltagspraxis des Kunstpublikums,Tweeting as #everydaypractice of the art audience
1126724599,Förderung der Autonomie von Psychiatrie-Erfahrenen,Promotion of autonomy for psychiatric survivors
112672467X,Effekte der präsymptomatischen Applikation der Rho-Kinase-Inhibitoren Fasudil und Y-27632 im SOD1-(G93A)-Mausmodell der Amyotrophen Lateralsklerose,Effects of pre-symptomatic application of Rho-kinase inhibitors fasudil and Y-27632 in the SOD1-(G93A)-mouse model of Amyotrophic Lateral Sclerosis
1126773506,Wärme steigert Haftfestigkeit von Klebebändern,Heat increases the adhesive strength of tape
1126773514,Duromere und thermoplastische Matrixmaterialien,Duromere and thermoplastic matrix materials
1126844225,"3-Länder-Tagung: Regionalismus in einer entgrenzten Welt, 29. September bis 1. Oktober 2016","Three-Country Conference: Regionalism in a Borderless World, September 29 to October 1, 2016"
1126850640,"Neuordnung der Sicherheitsgemeinschaft: Obama, die transatlantischen Beziehungen und die Bewältigung gemeinsamer sicherheitspolitischer Herausforderungen","Reorganization of the security community: Obama, transatlantic relations, and managing common security policy challenges"
1126895326,Kognitive Leistungsfähigkeit von älteren Beschäftigten erhalten und fördern,Cognitive performance of older employees
1126921777,Metaphern und Märchen in der Supervision,Metaphors and fairy tales in supervision
112692220X,Gewinnung sicherer Lastannahmen aus Simulation und Messung zur Festigkeitsauslegung von Straßen- und Stadtbahnen,Acquisition of safe load assumptions from simulation and measurement for the design of safety in road and urban rail vehicles
1126923443,Kinder in Waffen jugendliche Krieger in der Zeit vom 4. bis 8. Jahrhundert,Children in arms: Youth warriors in the time from the 4th to the 8th century
1126970964,Selbstdarstellung im öffentlichen und beruflichen Gespräch,Self-presentation in public and professional conversations
1127016571,Haptische Fahrpedale Die neue Informationsquelle für den Fahrer,Haptic Pedals: The new information source for the driver
1127044397,Verfahren zur Potenzial- und Risikoanalyse und patentrelevanter Innovationsvorhaben,Method for potential and risk analysis and patent-relevant innovation projects
1127045377,"Die @Auslegung von Art. 101 Abs. 3 AEUV durch die EU-Kommission in Bekanntmachungen, Leitlinien und Gruppenfreistellungsverordnungen","The interpretation of Article 101(3) AEUV by the EU Commission in Notifications, Guidelines, and Block Exemption Regulations"
1127075470,Schwierigkeitsbewertung von Mountainbike-Trails,Evaluation of Mountain Bike Trails Difficulty
1127083597,Konstruktive und funktionale Entwicklung eines selbststeuernden Unterflurbewässerungsverfahrens,Constructive and functional development of a self-regulating subsoil irrigation system
1127104772,"Anstellungsgenehmigung für Strahlentherapeuten nach Bedarfsplanungs-Richtlinie 2012 GG Art. 12 Abs. 1, Art. 20 Abs. 2; SGB V §§91, 92 Abs. 1 S. 2 Nr. 9, 95 Abs. 9, 98 Abs. 2 Nr. 13, 99, 101, 103; Ärzte-ZV §32b, BedarfsplRL v. 20.12.2012 §§9, 14, 48, 63","Appointment approval for radiation therapists according to the demand planning directive 2012 GG Art. 12 Abs. 1, Art. 20 Abs. 2; SGB V §§91, 92 Abs. 1 S. 2 Nr. 9, 95 Abs. 9, 98 Abs. 2 Nr. 13, 99, 101, 103; Doctors' Code of Law §32b, demand planning directive v. 20.12.2012 §§9,"
1127139940,"Studien zur Optimierung der konventionellen Therapie bei der T-Zell- und myeloischen Leukämie unter Verwendung von D,L-Methadon","Studies on the optimization of conventional therapy for T-cell and myeloid leukemia using D,L-methadone"
1127147544,Konversion oder Revision - zur Rationalität moralischen Wandels,Conversion or Revision - Towards Rational Moral Change
1127193538,Speech Pad: Warum gut präsentieren heute anders geht ... und wie Sie es lernen und anwenden können,Why presenting today is different ... and how you can learn and apply it
1127194852,Das @Elend des Christentums Ein Klassiker der Religionskritik in neuer Auflage,The @Misery of Christianity A Classic of Religious Criticism in a New Edition
1127235834,Weltkonjunktur im Frühjahr 2014,Global economic outlook in spring 2014
112724275X,"Automatisierung, Optimierung und Analyse integrierter Produktionsprozesse zur Herstellung rekombinanter Proteine mit Pichia pastoris","Automation, optimization, and analysis of integrated production processes for the manufacture of recombinant proteins with Pichia pastoris"
1127248456,Determinanten für die Membranpassage von Tat-abhängig transportierten Proteinen in Escherichia coli,Factors influencing the membrane translocation of tat-dependent transported proteins in Escherichia coli
1127337017,Die @Bedeutung der Struktur von Produktionsprozessen bei den Offshoring- und Backshoringaktivitäten deutscher Unternehmen,The significance of the structure of production processes in the offshoring and backshoring activities of German companies.
1127338048,Kuriose Effekte der Einführung des Mindestlohns und wie man sie vermeiden kann,Strange effects of the introduction of the minimum wage and how to avoid them
1127338234,Zwischen GREMAIN und GREXIT Euroraum in der Bewährungskrise,"Between GREMAIN and GREXIT, the Eurozone is in a crisis of confidence"
1127453149,Ein @neuer Geist des Kapitalismus? Selbstoptimierung und Burnout in den Wirtschaftsmedien,A New Spirit of Capitalism? Self-Optimization and Burnout in the Media Economy
1127454889,Früher Hautkontakt schützt untergewichtige Neonaten,Earlier skin contact protects underweight newborns
112745501X,Vollmilch versorgt Kinder besser mit Vitamin D,Full-fat milk supplies children better with vitamin D
112752819X,L’espace à la dérive. Situationistische Raum-Bewegungen und ihre Folgen,The Drifting Space. Situationist Spatial Movements and Their Consequences
1127553550,Verhindert ein Mindestlohn eine Ausbeutung des Staates?,Does a minimum wage prevent the exploitation of the state?
112757972X,Eine @sozioökonomische Analyse des Schiedsrichters im deutschen Fußball,A socio-economic analysis of the referee in German football
1127580051,Mikropolitische Ambitionen und Leistungsbeurteilungen von Berufstätigen in Organisationen,Political ambitions and performance evaluations of employees in organizations
1127582399,Schlagmann 2.0 – Bewegungsakustische Dimensionen interpersonaler Koordination im Mannschaftssport,Striker 2.0 – Acoustic Dimensions of Interpersonal Coordination in Team Sports
1127611437,Sportlehrerprofessionalität: Ende einer Misere oder Misere ohne Ende? Zwischenbilanz der Erforschung von Professionalisierungsverläufen,Sports Teacher Professionalism: The End of a Crisis or a Crisis Without End? A Midterm Review of Research on Professionalization Processes
1127622692,Im Glashaus der Evolution,The Evolution Greenhouse
1127623583,„Perfektion ist nicht der Sinn des Lebens.“,"""Perfection is not the purpose of life."""
1127626248,Das @Geheimnis des Laufens Trainingsdaten nutzen - Topleistungen erzielen,Using Training Data to Unlock the Secret of Running - Achieve Top Performance
1127678930,Togo: Ländliche Entwicklung einschließlich Landwirtschaft (ProDRA) II Projektevaluierung: Kurzbericht,Rural Development including Agriculture (ProDRA) II Project Evaluation: Short Report
1127679716,Ruanda: Förderung von Wirtschaft und Beschäftigung (Eco-Emploi) Projektevaluierung: Kurzbericht,Rwanda: Promotion of Economy and Employment (Eco-Emploi) Project Evaluation: Short Report
1127681249,Amerika NA: Stärkung indigener Organisationen in Lateinamerika (PROINDIGENA) Projektevaluierung: Kurzbericht,Evaluation of PROINDIGENA Projects: Short Report
1127682571,Safeguard-Review der Weltbankgruppe Ein neuer Goldstandard für das globale Umwelt- und Sozialrecht?,World Bank Group Review: A New Gold Standard for Global Environmental and Social Law?
